id,normal_1,normal_2,day3_1,day3_2,day3_3,day7_1,day7_2,day7_3,day14_1,day14_2
ENSMUSG00000037686,6.22139108457359,5.968716460097718,4.035057419890197,3.954532496155708,4.389817146188231,4.4534948707358755,3.8356042691343895,3.2866915393910947,2.8044945700177677,2.458207480111378
ENSMUSG00000027831,6.086223137267129,5.961780230050536,5.1391454942989,5.328367086452108,5.51128932608823,5.492619640866859,4.988720629225312,4.673866201568101,4.993814235884324,5.285478501596704
ENSMUSG00000031095,7.977303475280238,7.94582955231862,8.101782061534193,8.109004630421278,8.122320435122628,7.958944760596443,8.097075659136728,8.051318857435461,7.940719875538108,7.9233080682406705
ENSMUSG00000034931,6.407151246140382,6.585861536637471,6.661823473864511,6.647104095920401,6.680624683638825,6.787802911517765,6.737392070823984,6.8506069268663765,6.972609491123608,7.137530702748248
ENSMUSG00000074582,9.311842834710157,9.23513307471006,8.864046805449988,8.861741359435836,8.893063872161811,8.816007246224949,8.804705861195218,8.654286387354873,8.485269652272512,8.489885770965472
ENSMUSG00000018363,5.946861293852906,5.96646574175631,5.86748534960938,5.870928144145019,5.920476945011721,5.817450529391065,5.6922166289486364,5.716613959516176,5.7496382514506825,5.7862513865518475
ENSMUSG00000053580,7.385910903617448,7.29009752995744,6.514248307047556,6.352265509329711,6.584602477349919,6.5754722027495145,6.3881941813996725,6.356298910808298,6.332993446899216,6.510367540114773
ENSMUSG00000034685,0.8985128545800898,0.8481905874049912,1.1962436436865473,0.8207897103215813,0.8374476887759084,1.5257122909645278,1.5196609110168624,1.5108805641785092,1.814611890157332,1.7385592830018404
ENSMUSG00000020687,6.013531690770688,6.09461701295526,6.320951951206897,6.4730024144198754,6.32660403853994,6.352710773215558,6.251782075844588,6.463821489224404,6.267078849248356,6.4726604347445
ENSMUSG00000050910,3.105672356623298,3.0863708854657257,4.212070671604193,4.213246821806083,4.1489347988988765,4.376130159468844,4.588178268603215,4.471832857633591,5.057871814999519,5.080578229670754
ENSMUSG00000042446,6.0525186553161126,6.099607214499014,6.259929842512269,6.421553608168545,6.401923099607211,6.579776001341396,6.400897337525308,6.590457071144471,6.509866114041509,6.798687817502386
ENSMUSG00000050390,6.354642679154817,6.416191111850756,5.761097135334553,5.826660095082601,5.770065225172178,6.133784572530136,6.00140912975072,5.629455855343341,5.942884939686116,5.464280285020229
ENSMUSG00000020758,5.574672021937408,5.440343152537912,7.045791866351122,6.856976381267626,6.850575374081587,6.7718511597839015,7.034643045204411,6.981581504682206,8.108644267650106,7.970330348852754
ENSMUSG00000005045,8.181392555865296,8.096982309753022,7.92053651114519,7.886670651964078,7.9721134474743796,7.975514152418678,7.849079958433207,7.971261259878896,7.99155780744541,8.143606006390513
ENSMUSG00000033295,8.46653693836612,8.479752598093798,7.818289296112303,7.660774320977788,7.78360148880837,8.181204226391769,7.936967507057955,7.672690842801865,7.496147642071092,7.529902487716059
ENSMUSG00000044700,4.664580305553117,4.963928507506494,4.7037789357722,4.798735582265266,4.686767222128365,4.952946880191125,4.920220383060284,5.0658197825313405,5.112338996569126,5.2345436286726414
ENSMUSG00000028559,7.819746070320662,7.680333766892477,7.4503119901011035,7.320851110790666,7.44176487707841,7.3318236926345355,7.381072857981988,7.3486408048842105,7.450147623772906,7.370742218567555
ENSMUSG00000039410,2.959609058833743,3.3740455331708943,3.16364550143386,2.940213467239279,2.9900844827168815,3.5966205495640984,3.724148785924966,3.32179286751288,3.586647423043446,3.488146538071124
